Time(s),Input(v),Output(v),Output(m),speed,Ks,FV = AB,B =step_size,,,,,
33.4,2.478,0,0,,#DIV/0!,,FV = 59.62,,A=23.85,,,
33.5,2.478,0,0,0,#DIV/0!,,B=2.5,,T=,,,FV_tau=37.68=37.53
33.6,2.478,0,0,0,#DIV/0!,,A=23.85,,Ks=0.64,,,T=41.4-38.6=2.8
33.7,2.478,0,0,0,#DIV/0!,,,,,,,
33.8,2.478,0,0,0,#DIV/0!,,,,,,,
33.9,2.478,0,0,0,#DIV/0!,,,,,,,
34,2.478,0,0,0,#DIV/0!,,,,,,,
34.1,2.478,0,0,0,#DIV/0!,,,,,,,
34.2,2.478,0,0,0,#DIV/0!,,,,,,,
34.3,2.478,0,0,0,#DIV/0!,,,,,,,
34.4,2.478,0,0,0,#DIV/0!,,,,,,,
34.5,2.478,0,0,0,#DIV/0!,,,,,,,
34.6,2.478,0,0,0,#DIV/0!,,,,,,,
34.7,2.478,0,0,0,#DIV/0!,,,,,,,
34.8,2.478,0,0,0,#DIV/0!,,,,,,,
34.9,2.478,0,0,0,#DIV/0!,,,,,,,
35,2.478,0,0,0,#DIV/0!,,,,,,,
35.1,2.478,0,0,0,#DIV/0!,,,,,,,
35.2,2.478,0,0,0,#DIV/0!,,,,,,,
35.3,2.478,0,0,0,#DIV/0!,,,,,,,
35.4,2.468,0,0,0,#DIV/0!,,,,,,,
35.5,2.468,0,0,0,#DIV/0!,,,,,,,
35.6,2.478,0,0,0,#DIV/0!,,,,,,,
35.7,2.478,0,0,0,#DIV/0!,,,,,,,
35.8,2.478,0,0,0,#DIV/0!,,,,,,,
35.9,2.478,0,0,0,#DIV/0!,,,,,,,
36,2.478,0,0,0,#DIV/0!,,,,,,,
36.1,2.478,0,0,0,#DIV/0!,,,,,,,
36.2,2.478,0,0,0,#DIV/0!,,,,,,,
36.3,2.478,0,0,0,#DIV/0!,,,,,,,
36.4,2.478,0,0,0,#DIV/0!,,,,,,,
36.5,2.478,0,0,0,#DIV/0!,,,,,,,
36.6,2.478,0,0,0,#DIV/0!,,,,,,,
36.7,2.478,0,0,0,#DIV/0!,,,,,,,
36.8,2.478,0,0,0,#DIV/0!,,,,,,,
36.9,2.478,0,0,0,#DIV/0!,,,,,,,
37,2.478,0,0,0,#DIV/0!,,,,,,,
37.1,2.478,0,0,0,#DIV/0!,,,,,,,
37.2,2.478,0,0,0,#DIV/0!,,,,,,,
37.3,2.478,0,0,0,#DIV/0!,,,,,,,
37.4,2.478,0,0,0,#DIV/0!,,,,,,,
37.5,2.478,0,0,0,#DIV/0!,,,,,,,
37.6,2.478,0,0,0,#DIV/0!,,,,,,,
37.7,2.478,0,0,0,#DIV/0!,,,,,,,
37.8,2.478,0,0,0,#DIV/0!,,,,,,,
37.9,2.478,0,0,0,#DIV/0!,,,,,,,
38,2.478,0,0,0,#DIV/0!,,,,,,,
38.1,2.478,0,0,0,#DIV/0!,,,,,,,
38.2,2.478,0,0,0,#DIV/0!,,,,,,,
38.3,2.478,0,0,0,#DIV/0!,,,,,,,
38.4,2.478,0,0,0,#DIV/0!,,,,,,,
38.5,3.019,0,0,0,#DIV/0!,,,,,,,
38.6,5,0,0,0,#DIV/0!,,,,,,,
38.7,5,0.07,0.109,1.09,0.642201835,,,,,,,
38.8,5,0.207,0.324,2.15,0.638888889,,,,,,,
38.9,5,0.412,0.644,3.2,0.639751553,,,,,,,
39,5,0.683,1.067,4.23,0.640112465,,,,,,,
39.1,5,1.018,1.59,5.23,0.640251572,,,,,,,
39.2,5,1.417,2.213,6.23,0.640307275,,,,,,,
39.3,5,1.877,2.933,7.2,0.639959086,,,,,,,
39.4,5,2.399,3.749,8.16,0.639903974,,,,,,,
39.5,5,2.981,4.658,9.09,0.639974238,,,,,,,
39.6,5,3.622,5.66,10.02,0.639929329,,,,,,,
39.7,5,4.321,6.752,10.92,0.639958531,,,,,,,
39.8,5,5.077,7.932,11.8,0.640065557,,,,,,,
39.9,5,5.888,9.2,12.68,0.64,,,,,,,
40,5,6.754,10.553,13.53,0.640007581,,,,,,,
40.1,5,7.674,11.99,14.37,0.640033361,,,,,,,
40.2,5,8.646,13.51,15.2,0.639970392,,,,,,,
40.3,5,9.671,15.111,16.01,0.639997353,,,,,,,
40.4,5,10,16.791,16.8,0.595557144,,,,,,,
40.5,5,10,18.549,17.58,,,,,,,,
40.6,5,10,20.384,18.35,,,,,,,,
40.7,5,10,22.294,19.1,,,,,,,,
40.8,5,10,24.277,19.83,,,,,,,,
40.9,5,10,26.333,20.56,,,,,,,,
41,5,10,28.461,21.28,,,,,,,,
41.1,5,10,30.658,21.97,,,,,,,,
41.2,5,10,32.924,22.66,,,,,,,,
41.3,5,10,35.257,23.33,,,,,,,,
