Time(s),Input(v),Output(v),Output(m),Velocity
,,,,
19.7,2.427,10,4740.451,0
19.8,2.417,10,4740.662,0
19.9,2.417,10,4740.865,0
20,2.417,10,4741.061,0
20.1,2.417,10,4741.25,0
20.2,2.427,10,4741.431,0
20.3,2.427,10,4741.606,0
20.4,2.417,10,4741.775,0
20.5,2.417,10,4741.937,0
20.6,2.417,10,4742.093,0
20.7,2.417,10,4742.242,0
20.8,2.417,10,4742.384,0
20.9,2.417,10,4742.521,0
21,2.427,10,4742.651,0
21.1,2.427,10,4742.776,0
21.2,2.417,10,4742.895,0
21.3,2.427,10,4743.009,0
21.4,2.417,10,4743.117,0
21.5,2.417,10,4743.22,0
21.6,2.427,10,4743.317,0
21.7,2.427,10,4743.409,0
21.8,2.427,10,4743.497,0
21.9,2.427,10,4743.579,0
22,2.427,10,4743.657,0
22.1,2.427,10,4743.73,0
22.2,2.427,10,4743.799,0
22.3,2.417,10,4743.863,0
22.4,2.427,10,4743.923,0
22.5,2.427,10,4743.978,0
22.6,2.417,10,4744.029,0
22.7,2.427,10,4744.075,0
22.8,2.427,10,4744.118,0
22.9,2.417,10,4744.156,0
23,2.417,10,4744.191,0
23.1,2.427,10,4744.22,0
23.2,2.427,10,4744.247,0
23.3,2.427,10,4744.269,0
23.4,2.417,10,4744.288,0
23.5,2.427,10,4744.303,0
23.6,2.427,10,4744.314,0
23.7,2.417,10,4744.322,0
23.8,2.427,10,4744.327,0
23.9,2.417,10,4744.328,0
24,2.417,10,4744.325,0
24.1,2.427,10,4744.319,0
24.2,2.417,10,4744.31,0
24.3,2.417,10,4744.297,0
24.4,2.427,10,4744.281,0
24.5,2.427,10,4744.262,0
24.6,2.427,10,4744.24,0
24.7,2.427,10,4744.215,0
24.8,2.427,10,4744.188,0
24.9,2.427,10,4744.158,0
25,2.417,10,4744.125,0
25.1,2.427,10,4744.089,0
25.2,2.427,10,4744.051,0
25.3,2.417,10,4744.01,0
25.4,2.417,10,4743.966,0
25.5,2.427,10,4743.92,0
25.6,2.417,10,4743.871,0
25.7,2.417,10,4743.819,0
25.8,2.417,10,4743.765,0
25.9,2.427,10,4743.708,0
26,2.417,10,4743.649,0
26.1,2.427,10,4743.588,0
26.2,2.417,10,4743.524,0
26.3,2.417,10,4743.458,0
26.4,2.427,10,4743.389,0
26.5,2.427,10,4743.319,0
26.6,2.427,10,4743.247,0
26.7,2.427,10,4743.172,0
26.8,2.427,10,4743.096,0
26.9,2.427,10,4743.018,0
27,2.417,10,4742.939,0
27.1,2.427,10,4742.857,0
27.2,2.417,10,4742.773,0
27.3,2.427,10,4742.687,0
27.4,2.427,10,4742.6,0
27.5,2.427,10,4742.511,0
27.6,2.417,10,4742.421,0
27.7,2.427,10,4742.328,0
27.8,2.417,10,4742.234,0
27.9,2.427,10,4742.139,0
28,2.417,10,4742.041,0
28.1,2.417,10,4741.942,0
28.2,2.446,10,4741.841,0
28.3,5,10,4741.74,0
28.4,5,10,4741.749,0.09
28.5,5,10,4741.866,1.17
28.6,5,10,4742.09,2.24
28.7,5,10,4742.419,3.29
28.8,5,10,4742.85,4.31
28.9,5,10,4743.382,5.32
29,5,10,4744.013,6.31
29.1,5,10,4744.741,7.28
29.2,5,10,4745.564,8.23
29.3,5,10,4746.481,9.17
29.4,5,10,4747.49,10.09
29.5,5,10,4748.59,11
29.6,5,10,4749.777,11.87
29.7,5,10,4751.052,12.75
29.8,5,10,4752.412,13.6
29.9,5,10,4753.856,14.44
30,5,10,4755.383,15.27
30.1,5,10,4756.99,16.07
30.2,5,10,4758.677,16.87
30.3,5,10,4760.441,17.64
30.4,5,10,4762.282,18.41
30.5,5,10,4764.198,19.16
30.6,5,10,4766.188,19.9
30.7,5,10,4768.25,20.62
30.8,5,10,4770.383,21.33
30.9,5,10,4772.586,22.03
31,5,10,4774.858,22.72
31.1,5,10,4777.196,23.38
31.2,5,10,4779.601,24.05
31.3,5,10,4782.071,24.7
31.4,5,10,4784.604,25.33
31.5,5,10,4787.199,25.95
31.6,5,10,4789.856,26.57
31.7,5,10,4792.574,27.18
31.8,5,10,4795.35,27.76
31.9,5,10,4798.184,28.34
32,5,10,4801.076,28.92
32.1,5,10,4804.023,29.47
32.2,5,10,4807.025,30.02
32.3,5,10,4810.081,30.56
32.4,5,10,4813.191,31.1
32.5,5,10,4816.352,31.61
32.6,5,10,4819.564,32.12
32.7,5,10,4822.826,32.62
32.8,5,10,4826.137,33.11
32.9,5,10,4829.497,33.6
33,5,10,4832.904,34.07
33.1,5,10,4836.358,34.54
33.2,5,10,4839.858,35
33.3,5,10,4843.402,35.44
33.4,5,10,4846.99,35.88
33.5,5,10,4850.622,36.32
33.6,5,10,4854.296,36.74
33.7,5,10,4858.011,37.15
33.8,5,10,4861.768,37.57
33.9,5,10,4865.565,37.97
34,5,10,4869.401,38.36
34.1,5,10,4873.276,38.75
34.2,5,10,4877.189,39.13
34.3,5,10,4881.14,39.51
34.4,5,10,4885.127,39.87
34.5,5,10,4889.15,40.23
34.6,5,10,4893.208,40.58
34.7,5,10,4897.301,40.93
34.8,5,10,4901.428,41.27
34.9,5,10,4905.589,41.61
35,5,10,4909.782,41.93
35.1,5,10,4914.008,42.26
35.2,5,10,4918.265,42.57
35.3,5,10,4922.553,42.88
35.4,5,10,4926.872,43.19
35.5,5,10,4931.221,43.49
