Time(s),Input(v),Output(v),Output(m)
24.7000000000001,2.390,0.000,0.000
24.8000000000001,2.390,0.000,0.000
24.9000000000001,2.390,0.000,0.000
25.0000000000001,2.380,0.000,0.000
25.1000000000001,2.390,0.000,0.000
25.2000000000001,2.390,0.000,0.000
25.3000000000001,2.380,0.000,0.000
25.4000000000001,2.380,0.000,0.000
25.5000000000001,2.390,0.000,0.000
25.6000000000001,2.380,0.000,0.000
25.7000000000001,2.390,0.000,0.000
25.8000000000001,2.390,0.000,0.000
25.9000000000001,2.390,0.000,0.000
26.0000000000001,2.390,0.000,0.000
26.1000000000001,2.380,0.000,0.000
26.2000000000001,2.380,0.000,0.000
26.3000000000001,2.390,0.000,0.000
26.4000000000001,2.390,0.000,0.000
26.5000000000001,2.390,0.000,0.000
26.6000000000001,2.390,0.000,0.000
26.7000000000001,2.390,0.000,0.000
26.8000000000001,2.390,0.000,0.000
26.9000000000001,2.380,0.000,0.000
27.0000000000001,2.390,0.000,0.000
27.1000000000001,2.390,0.000,0.000
27.2000000000001,2.380,0.000,0.000
27.3000000000001,2.390,0.000,0.000
27.4000000000001,2.380,0.000,0.000
27.5000000000001,2.380,0.000,0.000
27.6000000000001,2.390,0.000,0.000
27.7000000000001,2.380,0.000,0.000
27.8000000000001,2.390,0.000,0.000
27.9000000000001,2.390,0.000,0.000
28.0000000000001,2.399,0.000,0.000
28.1000000000001,2.390,0.000,0.000
28.2000000000001,2.390,0.000,0.000
28.3000000000001,2.390,0.000,0.000
28.4000000000001,2.390,0.000,0.000
28.5000000000001,2.390,0.000,0.000
28.6000000000001,2.390,0.000,0.000
28.7000000000001,2.390,0.000,0.000
28.8000000000001,2.390,0.000,0.000
28.9000000000001,2.399,0.000,0.000
29.0000000000001,2.390,0.000,0.000
29.1000000000001,2.390,0.000,0.000
29.2000000000001,2.390,0.000,0.000
29.3000000000001,2.399,0.000,0.000
29.4000000000001,2.399,0.000,0.000
29.5000000000001,2.429,0.000,0.000
29.6000000000002,2.458,0.000,0.000
29.7000000000002,2.468,0.000,0.000
29.8000000000002,2.468,0.000,0.000
29.9000000000002,2.468,0.000,0.000
30.0000000000002,2.468,0.000,0.000
30.1000000000002,2.468,0.000,0.000
30.2000000000002,2.458,0.000,0.000
30.3000000000002,2.458,0.000,0.000
30.4000000000002,2.458,0.000,0.000
30.5000000000002,2.458,0.000,0.000
30.6000000000002,2.458,0.000,0.000
30.7000000000002,2.458,0.000,0.000
30.8000000000002,2.458,0.000,0.000
30.9000000000002,2.458,0.000,0.000
31.0000000000002,2.458,0.000,0.000
31.1000000000002,2.458,0.000,0.000
31.2000000000002,2.458,0.000,0.000
31.3000000000002,2.458,0.000,0.000
31.4000000000002,2.458,0.000,0.000
31.5000000000002,2.458,0.000,0.000
31.6000000000002,2.449,0.000,0.000
31.7000000000002,2.478,0.000,0.000
31.8000000000002,4.061,0.000,0.000
31.9000000000002,5.000,0.000,0.000
32.0000000000002,5.000,0.070,0.109
32.1000000000002,5.000,0.207,0.324
32.2000000000002,5.000,0.412,0.644
32.3000000000002,5.000,0.683,1.067
32.4000000000002,5.000,1.018,1.590
32.5000000000002,5.000,1.417,2.213
32.6000000000002,5.000,1.877,2.933
32.7000000000002,5.000,2.399,3.749
32.8000000000002,5.000,2.981,4.658
32.9000000000002,5.000,3.622,5.660
33.0000000000002,5.000,4.321,6.752
33.1000000000002,5.000,5.077,7.932
