Time(s),Input,Output_Displacement,,
31.7,1.902,6.522,,
31.8,1.855,6.508,,
31.9,1.798,6.487,,
32,1.734,6.458,max = ,6.528
32.1,1.663,6.422,,
32.2,1.585,6.379,,
32.3,1.501,6.33,,
32.4,1.412,6.275,,
32.5,1.319,6.215,,
32.6,1.223,6.151,,
32.7,1.124,6.082,,
32.8,1.025,6.01,,
32.9,0.925,5.936,,
33,0.826,5.86,,
33.1,0.728,5.782,,
33.2,0.634,5.705,,
33.3,0.542,5.628,,
33.4,0.456,5.552,,
33.5,0.375,5.478,,
33.6,0.3,5.407,,
33.7,0.232,5.339,,
33.8,0.172,5.276,,
33.9,0.12,5.217,,
34,0.077,5.164,,
34.1,0.043,5.116,,
34.2,0.019,5.075,,
34.3,0.005,5.041,,
34.4,0,5.013,,
34.5,0.005,4.994,,
34.6,0.021,4.981,,
34.7,0.046,4.977,,
34.8,0.081,4.98,,
34.9,0.125,4.991,,
35,0.177,5.009,,
35.1,0.238,5.035,,
35.2,0.306,5.069,,
35.3,0.382,5.109,,
35.4,0.463,5.155,,
35.5,0.55,5.207,,
35.6,0.642,5.265,,
35.7,0.737,5.328,,
35.8,0.834,5.395,,
35.9,0.934,5.465,,
36,1.034,5.539,,
36.1,1.133,5.614,,
36.2,1.232,5.691,,
36.3,1.327,5.769,,
36.4,1.42,5.846,,
36.5,1.509,5.923,,
36.6,1.592,5.998,,
36.7,1.67,6.07,,
36.8,1.74,6.139,,
36.9,1.804,6.204,,
37,1.859,6.265,,
37.1,1.906,6.321,,
37.2,1.944,6.371,,
37.3,1.972,6.415,,
37.4,1.991,6.452,,
37.5,1.999,6.482,,
37.6,1.998,6.505,,
37.7,1.987,6.521,,
37.8,1.966,6.528,,
37.9,1.935,6.528,,
38,1.895,6.521,,
38.1,1.846,6.505,,
38.2,1.788,6.482,,
38.3,1.723,6.452,,
38.4,1.65,6.415,,
38.5,1.571,6.371,,
38.6,1.486,6.321,,
38.7,1.397,6.266,,
38.8,1.303,6.205,,
38.9,1.206,6.139,,
39,1.108,6.07,,
39.1,1.008,5.998,,
39.2,0.908,5.923,,
39.3,0.809,5.847,,
39.4,0.712,5.769,,
39.5,0.618,5.692,,
39.6,0.528,5.615,,
39.7,0.442,5.539,,
39.8,0.362,5.466,,
39.9,0.288,5.395,,
40,0.222,5.328,,
40.1,0.163,5.266,,
40.2,0.112,5.208,,
40.3,0.071,5.155,,
40.4,0.039,5.109,,
40.5,0.016,5.069,,
40.6,0.003,5.036,,
40.7,0,5.01,,
40.8,0.007,4.991,,
40.9,0.024,4.98,,
41,0.051,4.977,,
41.1,0.087,4.981,,
41.2,0.133,4.993,,
41.3,0.187,5.013,,
41.4,0.249,5.04,,
41.5,0.319,5.075,,
41.6,0.395,5.116,,
41.7,0.478,5.163,,
41.8,0.565,5.217,,
41.9,0.658,5.275,,
