Time(s),Input,Output_Displacement,,,
111.4,0.369,4.929,,,
111.5,0.535,4.981,,,
111.6,0.721,5.063,,,
111.7,0.917,5.173,,max  = ,6.597
111.8,1.117,5.306,,,
111.9,1.312,5.457,,,
112,1.494,5.619,,,
112.1,1.657,5.788,,,
112.2,1.794,5.954,,,
112.3,1.899,6.113,,,
112.4,1.968,6.258,,,
112.5,1.999,6.382,,,
112.6,1.989,6.482,,,
112.7,1.941,6.552,,,
112.8,1.855,6.59,,,
112.9,1.734,6.595,,,
113,1.585,6.567,,,
113.1,1.412,6.506,,,
113.2,1.223,6.415,,,
113.3,1.025,6.297,,,
113.4,0.826,6.158,,,
113.5,0.634,6.003,,,
113.6,0.456,5.838,,,
113.7,0.3,5.669,,,
113.8,0.172,5.504,,,
113.9,0.077,5.348,,,
114,0.019,5.209,,,
114.1,0,5.092,,,
114.2,0.021,5.001,,,
114.3,0.081,4.939,,,
114.4,0.177,4.911,,,
114.5,0.306,4.916,,,
114.6,0.463,4.954,,,
114.7,0.642,5.024,,,
114.8,0.834,5.123,,,
114.9,1.034,5.247,,,
115,1.232,5.392,,,
115.1,1.42,5.551,,,
115.2,1.592,5.718,,,
115.3,1.74,5.886,,,
115.4,1.859,6.049,,,
115.5,1.944,6.2,,,
115.6,1.991,6.333,,,
115.7,1.998,6.444,,,
115.8,1.966,6.526,,,
115.9,1.895,6.578,,,
116,1.788,6.597,,,
116.1,1.65,6.583,,,
116.2,1.486,6.535,,,
116.3,1.303,6.456,,,
116.4,1.108,6.349,,,
116.5,0.908,6.218,,,
116.6,0.712,6.069,,,
116.7,0.528,5.907,,,
116.8,0.362,5.739,,,
116.9,0.222,5.572,,,
117,0.112,5.411,,,
117.1,0.039,5.265,,,
117.2,0.003,5.138,,,
117.3,0.007,5.035,,,
117.4,0.051,4.961,,,
117.5,0.133,4.919,,,
117.6,0.249,4.909,,,
117.7,0.395,4.934,,,
117.8,0.565,4.991,,,
117.9,0.753,5.079,,,
118,0.95,5.193,,,
118.1,1.15,5.33,,,
118.2,1.343,5.483,,,
118.3,1.523,5.648,,,
118.4,1.682,5.816,,,
118.5,1.814,5.982,,,
118.6,1.913,6.139,,,
118.7,1.976,6.281,,,
118.8,2,6.401,,,
118.9,1.984,6.496,,,
119,1.929,6.561,,,
119.1,1.837,6.594,,,
119.2,1.711,6.593,,,
119.3,1.557,6.559,,,
119.4,1.381,6.492,,,
119.5,1.19,6.397,,,
119.6,0.991,6.275,,,
119.7,0.793,6.133,,,
119.8,0.602,5.976,,,
119.9,0.428,5.809,,,
120,0.277,5.641,,,
120.1,0.154,5.477,,,
120.2,0.065,5.324,,,
120.3,0.013,5.188,,,
120.4,0.001,5.074,,,
120.5,0.028,4.988,,,
120.6,0.094,4.932,,,
120.7,0.197,4.909,,,
120.8,0.331,4.92,,,
120.9,0.492,4.963,,,
121,0.673,5.039,,,
121.1,0.868,5.142,,,
121.2,1.067,5.27,,,
121.3,1.264,5.418,,,
121.4,1.45,5.578,,,
121.5,1.619,5.746,,,
121.6,1.763,5.914,,,
121.7,1.876,6.075,,,
