Time(s),Input,Output_Displacement,,,
6.6,0.463,4.869,,,
6.7,0.689,4.921,,,
6.8,0.934,5.024,,max = ,6.642
6.9,1.183,5.173,,,
7,1.42,5.358,,,
7.1,1.632,5.567,,,
7.2,1.804,5.788,,,
7.3,1.926,6.007,,,
7.4,1.991,6.21,,,
7.5,1.994,6.384,,,
7.6,1.935,6.52,,,
7.7,1.818,6.607,,,
7.8,1.65,6.642,,,
7.9,1.442,6.621,,,
8,1.206,6.547,,,
8.1,0.958,6.423,,,
8.2,0.712,6.257,,,
8.3,0.484,6.06,,,
8.4,0.288,5.844,,,
8.5,0.137,5.622,,,
8.6,0.039,5.408,,,
8.7,0,5.216,,,
8.8,0.024,5.058,,,
8.9,0.109,4.942,,,
9,0.249,4.877,,,
9.1,0.436,4.866,,,
9.2,0.658,4.911,,,
9.3,0.901,5.007,,,
9.4,1.15,5.151,,,
9.5,1.39,5.331,,,
9.6,1.606,5.538,,,
9.7,1.784,5.758,,,
9.8,1.913,5.978,,,
9.9,1.986,6.184,,,
10,1.997,6.363,,,
10.1,1.946,6.504,,,
10.2,1.837,6.599,,,
10.3,1.675,6.641,,,
10.4,1.472,6.627,,,
10.5,1.239,6.56,,,
10.6,0.991,6.442,,,
10.7,0.744,6.281,,,
10.8,0.513,6.087,,,
10.9,0.312,5.873,,,
11,0.154,5.651,,,
11.1,0.048,5.436,,,
11.2,0.002,5.24,,,
11.3,0.018,5.076,,,
11.4,0.094,4.955,,,
11.5,0.228,4.882,,,
11.6,0.409,4.864,,,
11.7,0.627,4.902,,,
11.8,0.868,4.992,,,
11.9,1.117,5.129,,,
12,1.359,5.306,,,
12.1,1.579,5.51,,,
12.2,1.763,5.729,,,
12.3,1.899,5.95,,,
12.4,1.979,6.158,,,
12.5,1.999,6.341,,,
12.6,1.956,6.488,,,
12.7,1.854,6.589,,,
12.8,1.699,6.638,,,
12.9,1.501,6.632,,,
13,1.271,6.572,,,
13.1,1.024,6.46,,,
13.2,0.776,6.304,,,
13.3,0.542,6.115,,,
13.4,0.336,5.902,,,
13.5,0.172,5.681,,,
13.6,0.059,5.464,,,
13.7,0.005,5.265,,,
13.8,0.012,5.096,,,
13.9,0.081,4.968,,,
14,0.207,4.889,,,
14.1,0.382,4.864,,,
14.2,0.596,4.894,,,
14.3,0.835,4.977,,,
14.4,1.084,5.109,,,
14.5,1.328,5.28,,,
14.6,1.551,5.481,,,
14.7,1.741,5.699,,,
14.8,1.884,5.921,,,
14.9,1.972,6.132,,,
15,2,6.319,,,
15.1,1.966,6.471,,,
15.2,1.871,6.579,,,
15.3,1.723,6.635,,,
15.4,1.529,6.636,,,
15.5,1.303,6.583,,,
15.6,1.057,6.477,,,
15.7,0.809,6.327,,,
15.8,0.572,6.141,,,
15.9,0.362,5.931,,,
16,0.191,5.71,,,
16.1,0.071,5.492,,,
16.2,0.008,5.289,,,
16.3,0.007,5.116,,,
16.4,0.068,4.982,,,
16.5,0.187,4.896,,,
16.6,0.356,4.864,,,
16.7,0.566,4.886,,,
16.8,0.802,4.963,,,
16.9,1.051,5.089,,,
17,1.296,5.256,,,
