Time(s),Input,Output_Displacement,,,
1.6,1.682,5.153,,,
1.7,1.891,5.44,,,
1.8,1.993,5.765,,,
1.9,1.974,6.089,,,
2,1.837,6.372,,,
2.1,1.598,6.58,,,
2.2,1.287,6.687,,,
2.3,0.941,6.682,,,
2.4,0.602,6.563,,,
2.5,0.312,6.347,,,
2.6,0.105,6.058,,,
2.7,0.006,5.733,,,
2.8,0.028,5.41,,,
2.9,0.168,5.128,,max = ,6.698
3,0.409,4.922,,,
3.1,0.721,4.817,,,
3.2,1.067,4.826,,,
3.3,1.405,4.947,,,
3.4,1.694,5.165,,,
3.5,1.899,5.455,,,
3.6,1.995,5.781,,,
3.7,1.97,6.104,,,
3.8,1.827,6.384,,,
3.9,1.585,6.587,,,
4,1.271,6.69,,,
4.1,0.924,6.679,,,
4.2,0.587,6.555,,,
4.3,0.3,6.335,,,
4.4,0.097,6.043,,,
4.5,0.005,5.717,,,
4.6,0.032,5.395,,,
4.7,0.177,5.116,,,
4.8,0.422,4.915,,,
4.9,0.737,4.815,,,
5,1.084,4.829,,,
5.1,1.421,4.955,,,
5.2,1.706,5.178,,,
5.3,1.906,5.47,,,
5.4,1.996,5.797,,,
5.5,1.966,6.118,,,
5.6,1.818,6.395,,,
5.7,1.571,6.595,,,
5.8,1.255,6.692,,,
5.9,0.908,6.675,,,
6,0.572,6.547,,,
6.1,0.288,6.322,,,
6.2,0.09,6.028,,,
6.3,0.003,5.701,,,
6.4,0.037,5.38,,,
6.5,0.187,5.105,,,
6.6,0.436,4.908,,,
6.7,0.753,4.813,,,
6.8,1.101,4.833,,,
6.9,1.436,4.964,,,
7,1.718,5.19,,,
7.1,1.913,5.485,,,
7.2,1.998,5.813,,,
7.3,1.961,6.133,,,
7.4,1.808,6.407,,,
7.5,1.557,6.602,,,
7.6,1.238,6.694,,,
7.7,0.891,6.671,,,
7.8,0.557,6.538,,,
7.9,0.276,6.309,,,
8,0.083,6.013,,,
8.1,0.002,5.685,,,
8.2,0.041,5.366,,,
8.3,0.197,5.093,,,
8.4,0.45,4.901,,,
8.5,0.77,4.812,,,
8.6,1.117,4.837,,,
8.7,1.451,4.973,,,
8.8,1.73,5.203,,,
8.9,1.92,5.501,,,
9,1.999,5.829,,,
9.1,1.956,6.148,,,
9.2,1.798,6.418,,,
9.3,1.543,6.609,,,
9.4,1.222,6.695,,,
9.5,0.874,6.667,,,
9.6,0.542,6.529,,,
9.7,0.265,6.296,,,
9.8,0.077,5.998,,,
9.9,0.001,5.669,,,
10,0.046,5.351,,,
10.1,0.207,5.082,,,
10.2,0.464,4.894,,,
10.3,0.786,4.81,,,
10.4,1.134,4.841,,,
10.5,1.466,4.982,,,
10.6,1.741,5.216,,,
10.7,1.926,5.516,,,
10.8,1.999,5.845,,,
10.9,1.951,6.162,,,
11,1.788,6.43,,,
11.1,1.529,6.615,,,
11.2,1.206,6.697,,,
11.3,0.858,6.663,,,
11.4,0.527,6.52,,,
11.5,0.253,6.283,,,
11.6,0.071,5.982,,,
11.7,0,5.654,,,
11.8,0.051,5.337,,,
11.9,0.218,5.071,,,
12,0.478,4.887,,,
12.1,0.803,4.809,,,
12.2,1.151,4.845,,,
12.3,1.481,4.991,,,
12.4,1.752,5.23,,,
12.5,1.933,5.532,,,
12.6,2,5.86,,,
12.7,1.946,6.176,,,
12.8,1.777,6.441,,,
12.9,1.514,6.622,,,
13,1.189,6.698,,,
13.1,0.841,6.659,,,
13.2,0.512,6.51,,,
