Time(s),Input,Output_Displacement,,,,
56.6,1.676,5.048,,,,
56.7,1.899,5.324,,,max = ,6.691
56.8,1.997,5.659,,,,
56.9,1.956,6.008,,,,
57,1.783,6.321,,,,
57.1,1.501,6.555,,,,
57.2,1.149,6.678,,,,
57.3,0.776,6.672,,,,
57.4,0.435,6.539,,,,
57.5,0.172,6.296,,,,
57.6,0.024,5.978,,,,
57.7,0.012,5.628,,,,
57.8,0.137,5.296,,,,
57.9,0.382,5.028,,,,
58,0.713,4.86,,,,
58.1,1.084,4.816,,,,
58.2,1.443,4.903,,,,
58.3,1.741,5.108,,,,
58.4,1.935,5.402,,,,
58.5,2,5.745,,,,
58.6,1.926,6.089,,,,
58.7,1.723,6.387,,,,
58.8,1.419,6.596,,,,
58.9,1.057,6.689,,,,
59,0.688,6.651,,,,
59.1,0.362,6.488,,,,
59.2,0.124,6.223,,,,
59.3,0.008,5.893,,,,
59.4,0.03,5.544,,,,
59.5,0.187,5.223,,,,
59.6,0.457,4.976,,,,
59.7,0.802,4.837,,,,
59.8,1.175,4.826,,,,
59.9,1.523,4.943,,,,
60,1.799,5.173,,,,
60.1,1.964,5.483,,,,
60.2,1.994,5.831,,,,
60.3,1.887,6.168,,,,
60.4,1.656,6.448,,,,
60.5,1.334,6.631,,,,
60.6,0.966,6.691,,,,
60.7,0.602,6.622,,,,
60.8,0.294,6.432,,,,
60.9,0.083,6.147,,,,
61,0.001,5.808,,,,
61.1,0.057,5.461,,,,
61.2,0.244,5.154,,,,
61.3,0.536,4.931,,,,
61.4,0.893,4.822,,,,
61.5,1.265,4.843,,,,
61.6,1.599,4.99,,,,
61.7,1.851,5.243,,,,
61.8,1.984,5.567,,,,
61.9,1.981,5.917,,,,
62,1.841,6.244,,,,
62.1,1.584,6.503,,,,
62.2,1.246,6.657,,,,
62.3,0.874,6.686,,,,
62.4,0.52,6.586,,,,
62.5,0.232,6.369,,,,
62.6,0.051,6.067,,,,
62.7,0.002,5.721,,,,
62.8,0.091,5.38,,,,
62.9,0.307,5.091,,,,
63,0.619,4.893,,,,
63.1,0.985,4.815,,,,
63.2,1.352,4.868,,,,
63.3,1.67,5.043,,,,
63.4,1.895,5.317,,,,
63.5,1.996,5.652,,,,
63.6,1.959,6.001,,,,
63.7,1.788,6.315,,,,
63.8,1.507,6.551,,,,
63.9,1.156,6.677,,,,
64,0.784,6.673,,,,
64.1,0.441,6.542,,,,
64.2,0.176,6.302,,,,
64.3,0.026,5.985,,,,
64.4,0.011,5.636,,,,
64.5,0.133,5.303,,,,
64.6,0.376,5.032,,,,
64.7,0.706,4.862,,,,
64.8,1.076,4.816,,,,
64.9,1.436,4.9,,,,
65,1.735,5.102,,,,
65.1,1.933,5.395,,,,
65.2,2,5.738,,,,
65.3,1.928,6.083,,,,
65.4,1.728,6.382,,,,
65.5,1.426,6.593,,,,
65.6,1.065,6.688,,,,
65.7,0.695,6.653,,,,
65.8,0.368,6.493,,,,
65.9,0.128,6.23,,,,
66,0.009,5.9,,,,
66.1,0.028,5.551,,,,
66.2,0.183,5.229,,,,
66.3,0.45,4.98,,,,
66.4,0.795,4.839,,,,
66.5,1.167,4.825,,,,
66.6,1.517,4.939,,,,
66.7,1.794,5.167,,,,
66.8,1.962,5.476,,,,
66.9,1.995,5.824,,,,
67,1.891,6.162,,,,
67.1,1.662,6.443,,,,
67.2,1.341,6.628,,,,
67.3,0.973,6.691,,,,
67.4,0.609,6.625,,,,
67.5,0.299,6.437,,,,
67.6,0.087,6.154,,,,
67.7,0.001,5.815,,,,
67.8,0.054,5.468,,,,
