Time(s),Input,Output_Displacement
31.1,1.073,4.935
31.2,1.364,5.102
31.3,1.623,5.327
31.4,1.826,5.591
31.5,1.956,5.869
31.6,2,6.136
31.7,1.955,6.369
31.8,1.824,6.547
31.9,1.62,6.655
32,1.361,6.681
32.1,1.069,6.625
32.2,0.771,6.491
32.3,0.494,6.291
32.4,0.261,6.043
32.5,0.095,5.769
32.6,0.01,5.493
32.7,0.013,5.241
32.8,0.104,5.035
32.9,0.275,4.892
33,0.511,4.827
33.1,0.791,4.844
33.2,1.089,4.943
33.3,1.38,5.113
33.4,1.636,5.341
33.5,1.836,5.606
33.6,1.961,5.884
33.7,2,6.15
33.8,1.95,6.381
33.9,1.815,6.555
34,1.607,6.658
34.1,1.345,6.68
34.2,1.052,6.62
34.3,0.755,6.481
34.4,0.479,6.278
34.5,0.25,6.028
34.6,0.088,5.753
34.7,0.008,5.478
34.8,0.016,5.228
34.9,0.112,5.025
35,0.287,4.886
35.1,0.526,4.826
35.2,0.807,4.848
35.3,1.106,4.95
35.4,1.395,5.125
35.5,1.649,5.355
35.6,1.845,5.622
35.7,1.965,5.899
35.8,1.999,6.164
35.9,1.944,6.392
36,1.805,6.563
36.1,1.593,6.662
36.2,1.329,6.679
36.3,1.035,6.614
36.4,0.738,6.472
36.5,0.465,6.265
36.6,0.239,6.013
36.7,0.081,5.738
36.8,0.006,5.464
36.9,0.019,5.215
37,0.119,5.015
37.1,0.299,4.881
37.2,0.541,4.825
37.3,0.824,4.851
37.4,1.123,4.958
37.5,1.411,5.136
37.6,1.662,5.37
37.7,1.854,5.637
37.8,1.969,5.915
37.9,1.999,6.178
38,1.939,6.404
38.1,1.795,6.571
38.2,1.58,6.665
38.3,1.313,6.678
38.4,1.019,6.608
38.5,0.722,6.462
38.6,0.451,6.252
38.7,0.228,5.998
38.8,0.075,5.722
38.9,0.004,5.449
39,0.022,5.203
39.1,0.128,5.006
39.2,0.311,4.876
39.3,0.556,4.824
39.4,0.841,4.855
39.5,1.139,4.967
39.6,1.426,5.148
39.7,1.674,5.384
39.8,1.862,5.653
39.9,1.973,5.93
40,1.998,6.192
40.1,1.933,6.415
40.2,1.784,6.578
40.3,1.566,6.668
40.4,1.297,6.676
40.5,1.002,6.602
40.6,0.706,6.451
40.7,0.437,6.239
40.8,0.218,5.983
40.9,0.069,5.706
41,0.003,5.434
41.1,0.026,5.19
41.2,0.136,4.997
41.3,0.323,4.871
41.4,0.571,4.823
41.5,0.857,4.859
41.6,1.156,4.975
41.7,1.441,5.16
41.8,1.686,5.398
max = ,2,6.681
