Time(s),Input,Output_Displacement,,
107.5,0.272,5.393,,
107.6,0.619,5.092,,
107.7,1.034,4.908,,
107.8,1.443,4.875,,
107.9,1.773,4.997,,
108,1.966,5.255,,
108.1,1.987,5.601,,
108.2,1.832,5.974,,
108.3,1.529,6.307,,
108.4,1.132,6.543,max =,6.638
108.5,0.712,6.637,,
108.6,0.343,6.575,,
108.7,0.09,6.366,,
108.8,0,6.048,,
108.9,0.088,5.678,,
109,0.338,5.321,,
109.1,0.705,5.041,,
109.2,1.126,4.887,,
109.3,1.523,4.888,,
109.4,1.828,5.043,,
109.5,1.986,5.324,,
109.6,1.968,5.681,,
109.7,1.778,6.051,,
109.8,1.449,6.368,,
109.9,1.041,6.576,,
110,0.625,6.637,,
110.1,0.276,6.541,,
110.2,0.056,6.305,,
110.3,0.004,5.97,,
110.4,0.129,5.597,,
110.5,0.409,5.252,,
110.6,0.794,4.996,,
110.7,1.216,4.874,,
110.8,1.599,4.909,,
110.9,1.876,5.094,,
111,1.997,5.397,,
111.1,1.94,5.762,,
111.2,1.717,6.126,,
111.3,1.365,6.424,,
111.4,0.949,6.602,,
111.5,0.542,6.629,,
111.6,0.216,6.501,,
111.7,0.03,6.239,,
111.8,0.016,5.891,,
111.9,0.178,5.518,,
112,0.485,5.187,,
112.1,0.885,4.957,,
112.2,1.305,4.868,,
112.3,1.67,4.937,,
112.4,1.917,5.151,,
112.5,2,5.472,,
112.6,1.905,5.843,,
112.7,1.65,6.198,,
112.8,1.278,6.474,,
112.9,0.858,6.622,,
113,0.462,6.614,,
113.1,0.162,6.454,,
113.2,0.012,6.169,,
113.3,0.037,5.81,,
113.4,0.233,5.441,,
113.5,0.566,5.127,,
113.6,0.976,4.925,,
113.7,1.391,4.87,,
113.8,1.735,4.972,,
113.9,1.949,5.213,,
114,1.994,5.55,,
114.1,1.863,5.924,,
114.2,1.577,6.267,,
114.3,1.189,6.518,,
114.4,0.767,6.633,,
114.5,0.387,6.592,,
114.6,0.116,6.402,,
114.7,0.002,6.096,,
114.8,0.065,5.729,,
114.9,0.295,5.366,,
115,0.651,5.072,,
115.1,1.068,4.9,,
115.2,1.473,4.879,,
115.3,1.794,5.014,,
115.4,1.974,5.28,,
115.5,1.981,5.63,,
115.6,1.813,6.003,,
115.7,1.5,6.331,,
115.8,1.098,6.556,,
115.9,0.679,6.638,,
116,0.317,6.563,,
116.1,0.077,6.344,,
116.2,0,6.019,,
116.3,0.102,5.648,,
116.4,0.363,5.295,,
116.5,0.738,5.023,,
116.6,1.159,4.882,,
116.7,1.552,4.895,,
116.8,1.847,5.061,,
116.9,1.991,5.35,,
117,1.958,5.711,,
117.1,1.756,6.079,,
117.2,1.418,6.39,,
117.3,1.007,6.586,,
117.4,0.594,6.635,,
117.5,0.253,6.527,,
117.6,0.045,6.281,,
117.7,0.008,5.941,,
117.8,0.146,5.568,,
117.9,0.437,5.227,,
