Time(s),Input,Output_Displacement
4.8,0.858,6.250
4.9,0.381,6.417
5,0.071,6.404
5.1,0.011,6.217
5.2,0.218,5.904
5.3,0.635,5.550
5.4,1.151,5.252
5.5,1.626,5.088
5.6,1.933,5.103
5.7,1.988,5.294
5.8,1.777,5.608
5.9,1.357,5.961
5.99999999999999,0.841,6.258
6.09999999999999,0.368,6.419
6.19999999999999,0.064,6.401
6.29999999999999,0.013,6.208
6.39999999999999,0.228,5.893
6.49999999999999,0.651,5.540
6.59999999999999,1.167,5.244
6.69999999999999,1.639,5.085
6.79999999999999,1.938,5.107
6.89999999999999,1.985,5.302
6.99999999999999,1.767,5.619
7.09999999999999,1.341,5.972
7.19999999999999,0.824,6.266
7.29999999999999,0.355,6.422
7.39999999999999,0.059,6.397
7.49999999999999,0.016,6.200
7.59999999999999,0.239,5.881
7.69999999999999,0.666,5.529
7.79999999999999,1.184,5.236
7.89999999999999,1.652,5.083
7.99999999999999,1.944,5.111
8.09999999999999,1.982,5.311
8.19999999999999,1.756,5.630
8.29999999999999,1.326,5.983
8.39999999999999,0.808,6.273
8.49999999999999,0.342,6.424
8.59999999999999,0.053,6.394
8.69999999999999,0.019,6.191
8.79999999999998,0.250,5.870
8.89999999999998,0.682,5.518
8.99999999999998,1.200,5.229
9.09999999999998,1.664,5.081
9.19999999999998,1.950,5.114
9.29999999999998,1.979,5.320
9.39999999999998,1.745,5.642
9.49999999999998,1.310,5.993
9.59999999999998,0.791,6.281
9.69999999999998,0.329,6.426
9.79999999999998,0.048,6.390
9.89999999999998,0.023,6.182
9.99999999999998,0.261,5.859
10.1,0.698,5.507
10.2,1.217,5.222
10.3,1.677,5.079
10.4,1.955,5.119
10.5,1.975,5.329
10.6,1.733,5.653
10.7,1.294,6.004
10.8,0.775,6.288
10.9,0.317,6.427
11,0.043,6.385
11.1,0.027,6.173
11.2,0.273,5.847
11.3,0.714,5.497
11.4,1.233,5.215
11.5,1.689,5.078
11.6,1.960,5.123
11.7,1.971,5.338
11.8,1.722,5.664
11.9,1.277,6.015
12,0.759,6.295
12.1,0.305,6.429
12.2,0.038,6.381
12.3,0.031,6.164
12.4,0.284,5.836
12.5,0.731,5.486
12.6,1.250,5.208
12.7,1.701,5.076
12.8,1.964,5.127
12.9,1.967,5.347
13,1.710,5.676
13.1,1.261,6.025
13.2,0.742,6.302
13.3,0.293,6.430
13.4,0.034,6.376
13.5,0.035,6.155
13.6,0.296,5.825
13.7,0.747,5.475
13.8,1.266,5.201
13.9,1.713,5.075
14,1.968,5.132
14.1,1.963,5.356
14.2,1.698,5.687
14.3,1.245,6.036
14.4,0.726,6.308
14.5,0.281,6.431
14.6,0.029,6.372
14.7,0.039,6.145
14.8,0.308,5.813
14.9,0.763,5.465
15,1.282,5.194
15.1,1.725,5.074
15.2,1.973,5.137
