Time(s),Input,Output_Displacement,,,,
51.4,0.674,5.42,,,,
51.5,1.167,5.146,,,,
51.6,1.62,5.02,,,,
51.7,1.92,5.074,,,,
51.8,1.995,5.294,,,,
51.9,1.827,5.627,,,,
52,1.456,5.99,,,max =,6.489
52.1,0.973,6.295,,,,
52.2,0.497,6.468,,,,
52.3,0.144,6.465,,,,
52.4,0.001,6.289,,,,
52.5,0.102,5.981,,,,
52.6,0.423,5.617,,,,
52.7,0.885,5.286,,,,
52.8,1.376,5.07,,,,
52.9,1.774,5.021,,,,
53,1.983,5.151,,,,
53.1,1.951,5.429,,,,
53.2,1.686,5.786,,,,
53.3,1.254,6.134,,,,
53.4,0.759,6.39,,,,
53.5,0.323,6.489,,,,
53.6,0.053,6.408,,,,
53.7,0.015,6.167,,,,
53.8,0.218,5.825,,,,
53.9,0.612,5.464,,,,
54,1.102,5.175,,,,
54.1,1.566,5.027,,,,
54.2,1.892,5.057,,,,
54.3,2,5.257,,,,
54.4,1.862,5.579,,,,
54.5,1.514,5.943,,,,
54.6,1.04,6.261,,,,
54.7,0.556,6.455,,,,
54.8,0.181,6.476,,,,
54.9,0.006,6.321,,,,
55,0.075,6.026,,,,
55.1,0.37,5.665,,,,
55.2,0.82,5.325,,,,
55.3,1.313,5.09,,,,
55.4,1.73,5.017,,,,
55.5,1.968,5.125,,,,
55.6,1.969,5.386,,,,
55.7,1.733,5.737,,,,
55.8,1.317,6.092,,,,
55.9,0.824,6.364,,,,
56,0.374,6.486,,,,
56.1,0.077,6.429,,,,
56.2,0.006,6.207,,,,
56.3,0.178,5.873,,,,
56.4,0.552,5.51,,,,
56.5,1.035,5.206,,,,
56.6,1.51,5.037,,,,
56.7,1.86,5.042,,,,
56.8,1.999,5.222,,,,
56.9,1.894,5.532,,,,
57,1.57,5.896,,,,
57.1,1.106,6.225,,,,
57.2,0.616,6.438,,,,
57.3,0.221,6.484,,,,
57.4,0.016,6.351,,,,
57.5,0.052,6.071,,,,
57.6,0.32,5.714,,,,
57.7,0.755,5.366,,,,
57.8,1.25,5.113,,,,
57.9,1.683,5.017,,,,
58,1.95,5.101,,,,
58.1,1.984,5.344,,,,
58.2,1.777,5.688,,,,
58.3,1.38,6.048,,,,
58.4,0.89,6.335,,,,
58.5,0.427,6.48,,,,
58.6,0.104,6.447,,,,
58.7,0.001,6.244,,,,
58.8,0.142,5.921,,,,
58.9,0.494,5.557,,,,
59,0.969,5.24,,,,
59.1,1.452,5.05,,,,
59.2,1.824,5.031,,,,
59.3,1.995,5.189,,,,
59.4,1.922,5.486,,,,
59.5,1.623,5.847,,,,
59.6,1.172,6.186,,,,
59.7,0.678,6.419,,,,
59.8,0.264,6.488,,,,
59.9,0.029,6.378,,,,
60,0.033,6.115,,,,
60.1,0.273,5.763,,,,
60.2,0.691,5.408,,,,
60.3,1.185,5.139,,,,
60.4,1.633,5.019,,,,
60.5,1.927,5.079,,,,
60.6,1.993,5.304,,,,
60.7,1.817,5.639,,,,
60.8,1.44,6.002,,,,
60.9,0.956,6.304,,,,
61,0.482,6.471,,,,
61.1,0.135,6.462,,,,
61.2,0,6.279,,,,
61.3,0.11,5.968,,,,
61.4,0.438,5.604,,,,
61.5,0.903,5.276,,,,
61.6,1.392,5.066,,,,
61.7,1.785,5.023,,,,
61.8,1.986,5.159,,,,
61.9,1.945,5.441,,,,
62,1.673,5.799,,,,
62.1,1.237,6.146,,,,
62.2,0.742,6.396,,,,
62.3,0.31,6.489,,,,
62.4,0.048,6.402,,,,
