Time(s),Input,Output_Displacement,,,,
60.5,1.319,5.692,,,,
60.6,0.68,5.974,,,,
60.7,0.172,6.166,,,,
60.8,0.002,6.19,,,,
60.9,0.238,6.035,,,,
61,0.786,5.766,,,,
61.1,1.421,5.491,,,,
61.2,1.884,5.323,,,,
61.3,1.987,5.331,,,,
61.4,1.687,5.51,,,,
61.5,1.107,5.789,,,,
61.6,0.484,6.053,,,,
61.7,0.071,6.195,,,max =,6.203
61.8,0.037,6.156,,,,
61.9,0.396,5.953,,,,
62,1.001,5.669,,,,
62.1,1.606,5.418,,,,
62.2,1.964,5.305,,,,
62.3,1.929,5.374,,,,
62.4,1.515,5.598,,,,
62.5,0.891,5.885,,,,
62.6,0.312,6.118,,,,
62.7,0.013,6.203,,,,
62.8,0.117,6.104,,,,
62.9,0.581,5.862,,,,
63,1.216,5.575,,,,
63.1,1.763,5.361,,,,
63.2,1.999,5.307,,,,
63.3,1.827,5.435,,,,
63.4,1.318,5.692,,,,
63.5,0.68,5.974,,,,
63.6,0.172,6.166,,,,
63.7,0.002,6.19,,,,
63.8,0.239,6.035,,,,
63.9,0.786,5.765,,,,
64,1.421,5.491,,,,
64.1,1.884,5.323,,,,
64.2,1.987,5.331,,,,
64.3,1.687,5.511,,,,
64.4,1.107,5.789,,,,
64.5,0.483,6.053,,,,
64.6,0.071,6.195,,,,
64.7,0.037,6.156,,,,
64.8,0.396,5.953,,,,
64.9,1.001,5.668,,,,
65,1.606,5.418,,,,
65.1,1.964,5.305,,,,
65.2,1.928,5.374,,,,
65.3,1.514,5.598,,,,
65.4,0.89,5.885,,,,
65.5,0.311,6.118,,,,
65.6,0.013,6.203,,,,
65.7,0.117,6.104,,,,
65.8,0.581,5.862,,,,
65.9,1.216,5.575,,,,
66,1.763,5.361,,,,
66.1,1.999,5.307,,,,
66.2,1.827,5.435,,,,
66.3,1.318,5.692,,,,
66.4,0.679,5.974,,,,
66.5,0.171,6.166,,,,
66.6,0.002,6.19,,,,
66.7,0.239,6.035,,,,
66.8,0.787,5.765,,,,
66.9,1.421,5.491,,,,
67,1.884,5.323,,,,
67.1,1.987,5.331,,,,
67.2,1.686,5.511,,,,
67.3,1.106,5.79,,,,
67.4,0.483,6.053,,,,
67.5,0.07,6.195,,,,
67.6,0.037,6.156,,,,
67.7,0.396,5.953,,,,
67.8,1.002,5.668,,,,
67.9,1.607,5.418,,,,
68,1.964,5.305,,,,
68.1,1.928,5.374,,,,
68.2,1.514,5.598,,,,
68.3,0.89,5.885,,,,
68.4,0.311,6.118,,,,
68.5,0.013,6.203,,,,
68.6,0.117,6.104,,,,
68.7,0.582,5.861,,,,
68.8,1.217,5.575,,,,
68.9,1.763,5.361,,,,
69,1.999,5.307,,,,
69.1,1.827,5.435,,,,
69.2,1.317,5.692,,,,
69.3,0.679,5.975,,,,
69.4,0.171,6.166,,,,
69.5,0.002,6.19,,,,
69.6,0.239,6.035,,,,
69.7,0.787,5.765,,,,
69.8,1.422,5.49,,,,
69.9,1.884,5.323,,,,
70,1.986,5.331,,,,
70.1,1.686,5.511,,,,
70.2,1.106,5.79,,,,
70.3,0.483,6.054,,,,
70.4,0.07,6.195,,,,
70.5,0.037,6.156,,,,
70.6,0.397,5.953,,,,
70.7,1.002,5.668,,,,
70.8,1.607,5.418,,,,
70.9,1.964,5.305,,,,
71,1.928,5.374,,,,
71.1,1.514,5.598,,,,
71.2,0.89,5.885,,,,
71.3,0.311,6.119,,,,
71.4,0.013,6.203,,,,
71.5,0.118,6.104,,,,
71.6,0.582,5.861,,,,
71.7,1.217,5.575,,,,
71.8,1.764,5.361,,,,
71.9,1.999,5.307,,,,
72,1.826,5.435,,,,
72.1,1.317,5.693,,,,
72.2,0.678,5.975,,,,
72.3,0.171,6.166,,,,
72.4,0.002,6.19,,,,
72.5,0.239,6.035,,,,
72.6,0.787,5.765,,,,
72.7,1.422,5.49,,,,
72.8,1.885,5.323,,,,
72.9,1.986,5.331,,,,
73,1.686,5.511,,,,
73.1,1.106,5.79,,,,
73.2,0.482,6.054,,,,
73.3,0.07,6.195,,,,
73.4,0.037,6.156,,,,
73.5,0.397,5.953,,,,
73.6,1.003,5.668,,,,
73.7,1.607,5.418,,,,
73.8,1.964,5.305,,,,
73.9,1.928,5.374,,,,
74,1.513,5.598,,,,
74.1,0.889,5.886,,,,
74.2,0.31,6.119,,,,
74.3,0.013,6.203,,,,
74.4,0.118,6.103,,,,
74.5,0.583,5.861,,,,
74.6,1.218,5.575,,,,
