Time(s),Input,Output_Displacement,,,
2.9,0.097,6.282,,,
3,0.012,6.216,,,
3.1,0.272,5.988,,,
3.2,0.786,5.678,,,
3.3,1.375,5.394,,,
3.4,1.833,5.236,,,
3.5,2,5.258,,,
3.6,1.818,5.454,,,
3.7,1.35,5.753,,max = ,6.284
3.8,0.76,6.053,,,
3.9,0.254,6.248,,,
4,0.008,6.27,,,
4.1,0.109,6.111,,,
4.2,0.521,5.828,,,
4.3,1.101,5.518,,,
4.4,1.645,5.29,,,
4.5,1.964,5.224,,,
4.6,1.946,5.343,,,
4.7,1.598,5.605,,,
4.8,1.041,5.919,,,
4.9,0.469,6.175,,,
5,0.083,6.283,,,
5.1,0.018,6.206,,,
5.2,0.295,5.971,,,
5.3,0.819,5.66,,,
5.4,1.406,5.381,,,
5.5,1.851,5.232,,,
5.6,1.999,5.265,,,
5.7,1.798,5.468,,,
5.8,1.318,5.771,,,
5.9,0.727,6.068,,,
6,0.232,6.254,,,
6.1,0.004,6.266,,,
6.2,0.125,6.098,,,
6.3,0.551,5.81,,,
6.4,1.134,5.502,,,
6.5,1.67,5.282,,,
6.6,1.972,5.226,,,
6.7,1.935,5.355,,,
6.8,1.57,5.622,,,
6.9,1.007,5.936,,,
7,0.441,6.185,,,
7.1,0.071,6.284,,,
7.2,0.025,6.197,,,
7.3,0.319,5.955,,,
7.4,0.852,5.643,,,
7.5,1.436,5.369,,,
7.6,1.868,5.229,,,
7.7,1.997,5.272,,,
7.8,1.777,5.484,,,
7.9,1.286,5.789,,,
8,0.695,6.082,,,
8.1,0.211,6.26,,,
8.2,0.002,6.261,,,
8.3,0.142,6.084,,,
8.4,0.581,5.792,,,
8.5,1.167,5.486,,,
8.6,1.695,5.274,,,
8.7,1.98,5.229,,,
8.8,1.922,5.367,,,
8.9,1.543,5.64,,,
9,0.973,5.952,,,
9.1,0.414,6.195,,,
9.2,0.059,6.284,,,
9.3,0.033,6.187,,,
9.4,0.344,5.938,,,
9.5,0.885,5.625,,,
9.6,1.466,5.357,,,
9.7,1.884,5.226,,,
9.8,1.993,5.28,,,
9.9,1.756,5.499,,,
10,1.254,5.807,,,
10.1,0.663,6.096,,,
10.2,0.19,6.265,,,
10.3,0,6.255,,,
10.4,0.159,6.07,,,
10.5,0.612,5.774,,,
10.6,1.2,5.471,,,
10.7,1.719,5.266,,,
10.8,1.986,5.232,,,
10.9,1.909,5.379,,,
11,1.514,5.657,,,
11.1,0.94,5.969,,,
11.2,0.387,6.205,,,
11.3,0.048,6.283,,,
11.4,0.042,6.176,,,
11.5,0.37,5.922,,,
11.6,0.919,5.608,,,
11.7,1.496,5.345,,,
11.8,1.899,5.224,,,
11.9,1.989,5.289,,,
12,1.733,5.515,,,
12.1,1.221,5.825,,,
12.2,0.632,6.109,,,
12.3,0.171,6.269,,,
12.4,0,6.249,,,
12.5,0.178,6.056,,,
12.6,0.643,5.756,,,
12.7,1.233,5.456,,,
12.8,1.742,5.259,,,
12.9,1.991,5.235,,,
13,1.894,5.392,,,
13.1,1.485,5.675,,,
13.2,0.906,5.985,,,
13.3,0.361,6.214,,,
13.4,0.038,6.282,,,
13.5,0.052,6.165,,,
13.6,0.397,5.905,,,
13.7,0.952,5.591,,,
13.8,1.525,5.334,,,
13.9,1.914,5.223,,,
14,1.984,5.298,,,
