Time(s),Input,Output_Displacement,,,,,,
106,0.12,6.101,,,,,,
106.1,0.021,6.126,,,,,,
106.2,0.382,5.977,,,,,,
106.3,1.034,5.723,,,,,max = ,6.137
106.4,1.67,5.482,,,,,,
106.5,1.991,5.369,,,,,,
106.6,1.846,5.436,,,,,,
106.7,1.303,5.651,,,,,,
106.8,0.618,5.914,,,,,,
106.9,0.112,6.101,,,,,,
107,0.024,6.124,,,,,,
107.1,0.395,5.973,,,,,,
107.2,1.05,5.718,,,,,,
107.3,1.682,5.48,,,,,,
107.4,1.993,5.37,,,,,,
107.5,1.837,5.441,,,,,,
107.6,1.287,5.658,,,,,,
107.7,0.602,5.92,,,,,,
107.8,0.105,6.104,,,,,,
107.9,0.028,6.122,,,,,,
108,0.409,5.967,,,,,,
108.1,1.067,5.711,,,,,,
108.2,1.694,5.475,,,,,,
108.3,1.995,5.369,,,,,,
108.4,1.827,5.444,,,,,,
108.5,1.271,5.664,,,,,,
108.6,0.587,5.926,,,,,,
108.7,0.097,6.106,,,,,,
108.8,0.032,6.12,,,,,,
108.9,0.422,5.962,,,,,,
109,1.084,5.705,,,,,,
109.1,1.706,5.47,,,,,,
109.2,1.996,5.369,,,,,,
109.3,1.818,5.448,,,,,,
109.4,1.255,5.671,,,,,,
109.5,0.572,5.932,,,,,,
109.6,0.09,6.109,,,,,,
109.7,0.037,6.119,,,,,,
109.8,0.436,5.956,,,,,,
109.9,1.101,5.698,,,,,,
110,1.718,5.466,,,,,,
110.1,1.998,5.369,,,,,,
110.2,1.808,5.452,,,,,,
110.3,1.238,5.677,,,,,,
110.4,0.557,5.938,,,,,,
110.5,0.083,6.111,,,,,,
110.6,0.041,6.116,,,,,,
110.7,0.45,5.951,,,,,,
110.8,1.117,5.692,,,,,,
110.9,1.73,5.462,,,,,,
111,1.999,5.369,,,,,,
111.1,1.798,5.456,,,,,,
111.2,1.222,5.683,,,,,,
111.3,0.542,5.943,,,,,,
111.4,0.077,6.114,,,,,,
111.5,0.046,6.114,,,,,,
111.6,0.464,5.945,,,,,,
111.7,1.134,5.686,,,,,,
111.8,1.741,5.458,,,,,,
111.9,1.999,5.369,,,,,,
112,1.788,5.46,,,,,,
112.1,1.206,5.69,,,,,,
112.2,0.527,5.949,,,,,,
112.3,0.071,6.116,,,,,,
112.4,0.051,6.112,,,,,,
112.5,0.478,5.939,,,,,,
112.6,1.151,5.679,,,,,,
112.7,1.752,5.454,,,,,,
112.8,2,5.369,,,,,,
112.9,1.777,5.465,,,,,,
113,1.189,5.696,,,,,,
113.1,0.512,5.954,,,,,,
113.2,0.064,6.118,,,,,,
113.3,0.057,6.11,,,,,,
113.4,0.493,5.934,,,,,,
113.5,1.167,5.673,,,,,,
113.6,1.763,5.45,,,,,,
113.7,2,5.369,,,,,,
113.8,1.767,5.469,,,,,,
113.9,1.173,5.703,,,,,,
114,0.497,5.96,,,,,,
114.1,0.059,6.12,,,,,,
114.2,0.063,6.107,,,,,,
114.3,0.507,5.928,,,,,,
114.4,1.184,5.667,,,,,,
114.5,1.774,5.446,,,,,,
114.6,2,5.369,,,,,,
114.7,1.756,5.473,,,,,,
114.8,1.156,5.709,,,,,,
114.9,0.483,5.965,,,,,,
115,0.053,6.122,,,,,,
115.1,0.069,6.105,,,,,,
115.2,0.522,5.922,,,,,,
115.3,1.2,5.66,,,,,,
115.4,1.784,5.442,,,,,,
115.5,2,5.37,,,,,,
115.6,1.745,5.478,,,,,,
115.7,1.139,5.715,,,,,,
115.8,0.469,5.971,,,,,,
115.9,0.048,6.123,,,,,,
116,0.075,6.102,,,,,,
116.1,0.537,5.916,,,,,,
116.2,1.217,5.654,,,,,,
116.3,1.795,5.438,,,,,,
116.4,1.999,5.37,,,,,,
116.5,1.733,5.482,,,,,,
116.6,1.123,5.722,,,,,,
116.7,0.454,5.976,,,,,,
116.8,0.043,6.125,,,,,,
116.9,0.081,6.099,,,,,,
117,0.552,5.911,,,,,,
117.1,1.233,5.648,,,,,,
117.2,1.805,5.434,,,,,,
117.3,1.998,5.371,,,,,,
117.4,1.722,5.487,,,,,,
117.5,1.106,5.728,,,,,,
117.6,0.44,5.981,,,,,,
117.7,0.038,6.127,,,,,,
117.8,0.088,6.096,,,,,,
117.9,0.567,5.905,,,,,,
118,1.25,5.642,,,,,,
118.1,1.815,5.431,,,,,,
118.2,1.997,5.372,,,,,,
118.3,1.71,5.492,,,,,,
118.4,1.089,5.735,,,,,,
118.5,0.427,5.986,,,,,,
118.6,0.034,6.128,,,,,,
118.7,0.095,6.094,,,,,,
118.8,0.582,5.899,,,,,,
118.9,1.266,5.635,,,,,,
119,1.824,5.427,,,,,,
119.1,1.995,5.372,,,,,,
119.2,1.698,5.497,,,,,,
119.3,1.072,5.741,,,,,,
119.4,0.413,5.991,,,,,,
119.5,0.029,6.13,,,,,,
119.6,0.102,6.09,,,,,,
119.7,0.598,5.893,,,,,,
119.8,1.282,5.629,,,,,,
119.9,1.834,5.424,,,,,,
120,1.993,5.373,,,,,,
120.1,1.686,5.501,,,,,,
120.2,1.056,5.748,,,,,,
120.3,0.399,5.996,,,,,,
120.4,0.026,6.131,,,,,,
120.5,0.11,6.087,,,,,,
120.6,0.613,5.887,,,,,,
120.7,1.298,5.623,,,,,,
120.8,1.843,5.421,,,,,,
120.9,1.991,5.375,,,,,,
121,1.673,5.506,,,,,,
121.1,1.039,5.754,,,,,,
121.2,0.386,6.001,,,,,,
121.3,0.022,6.132,,,,,,
121.4,0.118,6.084,,,,,,
121.5,0.629,5.881,,,,,,
121.6,1.314,5.617,,,,,,
121.7,1.852,5.418,,,,,,
121.8,1.989,5.376,,,,,,
121.9,1.661,5.511,,,,,,
122,1.022,5.761,,,,,,
122.1,0.373,6.006,,,,,,
122.2,0.019,6.133,,,,,,
122.3,0.126,6.081,,,,,,
122.4,0.644,5.875,,,,,,
122.5,1.33,5.611,,,,,,
122.6,1.861,5.414,,,,,,
122.7,1.986,5.377,,,,,,
122.8,1.648,5.516,,,,,,
122.9,1.005,5.767,,,,,,
123,0.36,6.011,,,,,,
123.1,0.015,6.134,,,,,,
123.2,0.134,6.077,,,,,,
123.3,0.66,5.868,,,,,,
123.4,1.346,5.605,,,,,,
123.5,1.869,5.411,,,,,,
123.6,1.983,5.378,,,,,,
123.7,1.635,5.521,,,,,,
123.8,0.988,5.774,,,,,,
123.9,0.347,6.016,,,,,,
124,0.013,6.135,,,,,,
124.1,0.143,6.074,,,,,,
124.2,0.676,5.862,,,,,,
124.3,1.362,5.599,,,,,,
124.4,1.877,5.408,,,,,,
124.5,1.98,5.38,,,,,,
124.6,1.622,5.527,,,,,,
124.7,0.972,5.78,,,,,,
124.8,0.334,6.021,,,,,,
124.9,0.01,6.135,,,,,,
125,0.151,6.07,,,,,,
125.1,0.692,5.856,,,,,,
125.2,1.377,5.593,,,,,,
125.3,1.885,5.406,,,,,,
125.4,1.977,5.381,,,,,,
125.5,1.609,5.532,,,,,,
125.6,0.955,5.786,,,,,,
125.7,0.322,6.025,,,,,,
125.8,0.008,6.136,,,,,,
125.9,0.16,6.067,,,,,,
126,0.708,5.85,,,,,,
126.1,1.393,5.587,,,,,,
126.2,1.893,5.403,,,,,,
126.3,1.973,5.383,,,,,,
126.4,1.596,5.537,,,,,,
126.5,0.938,5.793,,,,,,
126.6,0.31,6.03,,,,,,
126.7,0.006,6.136,,,,,,
126.8,0.17,6.063,,,,,,
126.9,0.724,5.843,,,,,,
127,1.408,5.582,,,,,,
127.1,1.9,5.4,,,,,,
127.2,1.969,5.385,,,,,,
127.3,1.582,5.543,,,,,,
